year,state.code,state.name,female.total.score,male.total.score
2012,GA,Georgia,960,997
2012,HI,Hawaii,961,999
2012,ID,Idaho,1065,1112
2012,IL,Illinois,1189,1234
2012,IN,Indiana,971,1022
2012,IA,Iowa,1180,1242
2012,KS,Kansas,1160,1198
2012,KY,Kentucky,1133,1179
2012,LA,Louisiana,1050,1113
2012,ME,Maine,943,940
2012,MD,Maryland,983,1017
2012,MA,Massachusetts,1023,1064
2012,MI,Michigan,1171,1207
2012,MN,Minnesota,1174,1226
2012,MS,Mississippi,1072,1146
2012,MO,Missouri,1161,1201
2012,MT,Montana,1054,1096
2012,NE,Nebraska,1131,1193
2012,NV,Nevada,966,1004
2012,NH,New Hampshire,1025,1071
2012,NJ,New Jersey,992,1032
2012,NM,New Mexico,1081,1111
2012,NY,New York,967,1002
2012,NC,North Carolina,982,1016
2012,ND,North Dakota,1164,1237
2012,OH,Ohio,1074,1119
2012,OK,Oklahoma,1108,1163
2012,OR,Oregon,1022,1069
2012,PA,Pennsylvania,973,1014
2012,PR,Puerto Rico,902,909
2012,RI,Rhode Island,963,1004
2012,SC,South Carolina,953,988
2012,SD,South Dakota,1163,1235
2012,TN,Tennessee,1126,1168
2012,TX,Texas,957,991
2012,UT,Utah,1110,1160
2012,VT,Vermont,1023,1065
2012,VI,Virgin Islands,771,803
2012,VA,Virginia,1004,1042
2012,WA,Washington,1029,1073
2012,WV,West Virginia,998,1044
2012,WI,Wisconsin,1178,1223
2012,WY,Wyoming,1140,1154
2013,AL,Alabama,1050,1114
2013,AK,Alaska,993,1039
2013,AZ,Arizona,1029,1074
2013,AR,Arkansas,1119,1167
2013,CA,California,986,1038
2013,CO,Colorado,1139,1181
2013,CT,Connecticut,1003,1037
2013,DE,Delaware,897,918
2013,DC,District Of Columbia,908,972
2013,FL,Florida,967,1000
2013,GA,Georgia,959,998
2013,HI,Hawaii,968,1008
2013,ID,Idaho,903,921
2013,IL,Illinois,1198,1238
2013,IN,Indiana,973,1018
2013,IA,Iowa,1164,1223
2013,KS,Kansas,1164,1205
2013,KY,Kentucky,1136,1201
2013,LA,Louisiana,1081,1143
2013,ME,Maine,929,928
2013,MD,Maryland,982,1012
2013,MA,Massachusetts,1025,1064
2013,MI,Michigan,1180,1223
2013,MN,Minnesota,1186,1222
2013,MS,Mississippi,1097,1140
2013,MO,Missouri,1169,1214
2013,MT,Montana,1055,1109
2013,NE,Nebraska,1147,1192
2013,NV,Nevada,968,1010
2013,NH,New Hampshire,1037,1071
2013,NJ,New Jersey,1004,1039
2013,NM,New Mexico,1079,1114
2013,NY,New York,972,1004
2013,NC,North Carolina,986,1020
2013,ND,North Dakota,1186,1264
2013,OH,Ohio,1082,1129
2013,OK,Oklahoma,1123,1159
2013,OR,Oregon,1020,1066
2013,PA,Pennsylvania,980,1017
2013,PR,Puerto Rico,895,901
2013,RI,Rhode Island,966,999
2013,SC,South Carolina,955,989
2013,SD,South Dakota,1140,1251
2013,TN,Tennessee,1120,1169
2013,TX,Texas,961,991
2013,UT,Utah,1122,1151
2013,VT,Vermont,1022,1049
2013,VI,Virgin Islands,789,805
2013,VA,Virginia,1014,1048
2013,WA,Washington,1020,1061
2013,WV,West Virginia,1001,1031
2013,WI,Wisconsin,1177,1216
2013,WY,Wyoming,1148,1192
2014,AL,Alabama,1053,1125
2014,AK,Alaska,995,1029
2014,AZ,Arizona,1027,1072
2014,AR,Arkansas,1111,1185
2014,CA,California,984,1037
2014,CO,Colorado,1147,1193
2014,CT,Connecticut,1002,1034
2014,DE,Delaware,910,921
2014,DC,District Of Columbia,855,903
2014,FL,Florida,961,993
2014,GA,Georgia,958,989
2014,HI,Hawaii,973,1007
2014,ID,Idaho,910,920
2014,IL,Illinois,1193,1239
2014,IN,Indiana,976,1023
2014,IA,Iowa,1190,1247
2014,KS,Kansas,1172,1204
2014,KY,Kentucky,1152,1198
2014,LA,Louisiana,1089,1153
2014,ME,Maine,940,937
2014,MD,Maryland,975,1000
2014,MA,Massachusetts,1028,1068
2014,MI,Michigan,1177,1232
2014,MN,Minnesota,1185,1235
2014,MS,Mississippi,1120,1185
2014,MO,Missouri,1175,1208
2014,MT,Montana,1092,1125
2014,NE,Nebraska,1148,1216
2014,NV,Nevada,971,1011
2014,NH,New Hampshire,1033,1077
2014,NJ,New Jersey,1006,1042
2014,NM,New Mexico,1075,1110
2014,NY,New York,974,1007
2014,NC,North Carolina,990,1025
2014,ND,North Dakota,1193,1269
2014,OH,Ohio,1096,1142
2014,OK,Oklahoma,1118,1178
2014,OR,Oregon,1024,1072
2014,PA,Pennsylvania,982,1022
2014,PR,Puerto Rico,918,913
2014,RI,Rhode Island,974,1017
2014,SC,South Carolina,962,997
2014,SD,South Dakota,1185,1242
2014,TN,Tennessee,1125,1172
2014,TX,Texas,956,988
2014,UT,Utah,1119,1160
2014,VT,Vermont,1029,1069
2014,VI,Virgin Islands,781,808
2014,VA,Virginia,1018,1051
2014,WA,Washington,1012,1047
2014,WV,West Virginia,998,1052
2014,WI,Wisconsin,1179,1234
2014,WY,Wyoming,1162,1217
2015,AL,Alabama,1049,1128
2015,AK,Alaska,997,1033
2015,AZ,Arizona,1028,1077
2015,AR,Arkansas,1113,1169
2015,CA,California,978,1029
2015,CO,Colorado,1150,1192
2015,CT,Connecticut,995,1025
2015,DE,Delaware,918,931
2015,DC,District Of Columbia,867,896
2015,FL,Florida,954,980
2015,GA,Georgia,958,995
2015,HI,Hawaii,978,1014
2015,ID,Idaho,926,935
2015,IL,Illinois,1193,1238
2015,IN,Indiana,973,1022
2015,IA,Iowa,1168,1216
2015,KS,Kansas,1152,1214
2015,KY,Kentucky,1148,1205
2015,LA,Louisiana,1088,1164
2015,ME,Maine,941,940
2015,MD,Maryland,970,998
2015,MA,Massachusetts,1026,1068
2015,MI,Michigan,1169,1240
2015,MN,Minnesota,1183,1224
2015,MS,Mississippi,1105,1195
2015,MO,Missouri,1182,1208
2015,MT,Montana,1100,1140
2015,NE,Nebraska,1161,1202
2015,NV,Nevada,969,1012
2015,NH,New Hampshire,1036,1076
2015,NJ,New Jersey,1004,1040
2015,NM,New Mexico,1072,1122
2015,NY,New York,974,1009
2015,NC,North Carolina,985,1022
2015,ND,North Dakota,1179,1236
2015,OH,Ohio,1095,1147
2015,OK,Oklahoma,1120,1172
2015,OR,Oregon,1021,1074
2015,PA,Pennsylvania,983,1025
2015,PR,Puerto Rico,911,914
2015,RI,Rhode Island,972,1006
2015,SC,South Carolina,958,995
2015,SD,South Dakota,1159,1225
2015,TN,Tennessee,1132,1178
2015,TX,Texas,942,972
2015,UT,Utah,1118,1191
2015,VT,Vermont,1031,1063
2015,VI,Virgin Islands,787,823
2015,VA,Virginia,1018,1053
2015,WA,Washington,1000,1028
2015,WV,West Virginia,993,1025
2015,WI,Wisconsin,1171,1224
2015,WY,Wyoming,1166,1186
